TimeCreated,Id,Computer,TargetUserName,IpAddress,IpPort,LogonType,Status,WorkstationName
2026-08-17T09:11:40Z,4624,DC01,alice,198.51.100.20,49000,3,0x0,WKS-00
2026-08-17T09:25:00Z,4624,DC01,bob,198.51.100.21,49001,3,0x0,WKS-01
2026-08-17T09:38:20Z,4624,DC01,carol,198.51.100.22,49002,3,0x0,WKS-02
2026-08-17T17:20:00Z,4625,DC01,administrator,192.0.2.150,50000,10,0xc000006a,KALI-BOX
2026-08-17T17:20:10Z,4625,DC01,administrator,192.0.2.150,50001,10,0xc000006a,KALI-BOX
2026-08-17T17:20:20Z,4625,DC01,administrator,192.0.2.150,50002,10,0xc000006a,KALI-BOX
2026-08-17T17:20:30Z,4625,DC01,administrator,192.0.2.150,50003,10,0xc000006a,KALI-BOX
2026-08-17T17:20:40Z,4625,DC01,administrator,192.0.2.150,50004,10,0xc000006a,KALI-BOX
2026-08-17T17:20:50Z,4625,DC01,administrator,192.0.2.150,50005,10,0xc000006a,KALI-BOX
2026-08-17T17:21:00Z,4625,DC01,administrator,192.0.2.150,50006,10,0xc000006a,KALI-BOX
2026-08-17T17:21:10Z,4625,DC01,administrator,192.0.2.150,50007,10,0xc000006a,KALI-BOX
2026-08-17T17:21:20Z,4625,DC01,administrator,192.0.2.150,50008,10,0xc000006a,KALI-BOX
2026-08-17T17:21:40Z,4624,DC01,administrator,192.0.2.150,50100,10,0x0,KALI-BOX
2026-08-17T17:21:50Z,4672,DC01,administrator,192.0.2.150,50100,10,0x0,KALI-BOX
2026-08-17T17:36:40Z,4740,DC01,jsmith,-,0,,,-
2026-08-17T17:37:10Z,4740,DC01,mjones,-,0,,,-
2026-08-17T17:37:40Z,4740,DC01,pbrown,-,0,,,-
2026-08-17T17:38:10Z,4740,DC01,kwhite,-,0,,,-
2026-08-17T17:38:40Z,4740,DC01,rgreen,-,0,,,-
2026-08-17T17:45:00Z,4634,DC01,DC01$,-,0,3,,-
2026-08-17T17:46:40Z,4624,DC01,SYSTEM,-,0,5,0x0,-
